query_id,query,E3_rank,E4_rank,delta
q_83460859b8c31f2b,"Tìm cảnh bản đồ sạt lở bờ sông tại Cần Thơ, khi người nói đề cập năm 2024 xảy ra 24 vụ tại nhiều quận huyện, gây thiệt hại hơn 14,5 tỷ đồng.",9,9,0
q_e2e1217874535d0c,Tìm cảnh các cán bộ đang dự lễ khởi công dự án cải tạo đền thờ NGUYỄN HỮU CẢNH.,3,3,0
q_372b5c1dc20c62e3,"Tìm cảnh 1 vận động viên xe đáp đang chạy và có các biển HTV, NON SÔNG LIỀN MỘT.",2,2,0
q_f484e2b01a6f5c56,"Tìm hình ảnh bảng điểm của Đoàn LSR về chủ đề mãi mãi xứng danh "" bộ đội cụ HỒ"".",2,2,0
q_2c4f14bc3f0e6007,Tìm hình ảnh thầy Đức Anh sửa bài chiếc thuyền ngoài xa của của NGUYỄN MINH CHÂU.,4,4,0
q_bec22b7b07834e5a,"Tìm cảnh 1 nữ đầu bếp xuất hiện trên kênh htv , quảng cáo cho nhãn hàng ajinomoto.",1,1,0
q_8d9f0e1d4c2b65ec,Tìm cảnh người dân ngồi ăn ở quán bún cá thu HÙNG HÀO.,5,4,1
q_3840fff75adacf30,TÌm cảnh bản đô về của sông mê kông cũ ở trên HTV về tư liệu MÊ Kông ký sự.,71,86,-15
q_08973bc3b4ff14b3,TÌm 2 cô gái đang trao đổi với nhau về những khó khăn của mô hình khởi nghiệp.,9,5,4
q_7f5e33ad5173e00e,"Tìm Bạn nam tên Nguyễn Đăng Bảo lớp 9T, thcs ban mai,hà đông, hà nội.",1,2,-1
q_a580648e97befebe,"Tìm ảnh giấy tờ về hợp đồng uỷ quyền là 1 trong những sai phạm của Phạm Văn Học , hắn bị công an tỉnh tây ninh bắt khi đang lẫn trốn ở 1 quán trọ.",7,7,0
q_393bbbb9e8eca8b9,"Tìm cảnh cúc cán bộ xúc cát dự lể khởi công dự án cải tạo, sửa chữa đền thờ Nguyễn hữu cảnh.",16,18,-2
q_330b6bfd1e3cff24,TÌm cảnh các tay đua xe đạp chạy về vạch đích trên kênh HTV.,1,1,0
q_d5b0d340abfa38f5,Tìm cảnh các chiến sĩ bộ đội múa rồng trên kênh HTV thể thao.,1,1,0
q_93d663614a884b6e,"Tìm cảnh một người đàn ông ký văn bản bên cạnh một người phụ nữ trong lễ ký kết, khi lời thuyết minh nói về hợp tác quốc tế với các trường đại học, viện nghiên cứu và tập đoàn nhằm giúp sinh viên hội nhập thế giới.",42,56,-14
q_a11e25cec459ce15,"Tìm cảnh một nữ đầu bếp và một người đàn ông đứng trong gian bếp, khi họ hướng dẫn làm món đùi ếch chiên giòn rụm.",22,14,8
q_0b92f2f348722ea7,Tìm cảnh cô gái dẫn chương trình viên du lịch tên Như Bình trong chương trình Việt Nam đi là ghiền.,7,7,0
q_13626d117cd5935e,"Tìm cảnh một cuốn sách đang mở có tranh minh họa cuộc sống miền Tây và đoạn chữ nhắc đến những “đồng chà chất san sát nhau”, khi lời thuyết minh giới thiệu nhà văn Trương Chí Hùng cùng sáu tập tản văn, bút ký đậm văn hóa Tây Nam Bộ.",1,2,-1
q_f09d21b45a1f8b55,"Tìm cảnh 2 cô gái đang đứng trao đổi trên bàn là những hộp có nắp màu bạc, đằng sau các cô gái là các hộp giấy.",1,1,0
q_04971273d2ccdda8,Tìm cảnh cậu học sinh đang đứng phát biểu trong Lễ khai giảng năm học 2023-2024.,3,3,0
q_5d906a7bc2c3ab81,"Tại một gian hàng triển lãm thiết bị y tế, một người đàn ông đang trao đổi với một phụ nữ; phía sau có biển “SHENYANG PUSM MEDICAL DEVICE CO., LTD”, trong khi dòng chữ trên bản tin nhắc đến hỗ trợ khẩn cấp các gia đình bị thiệt hại do mưa lũ tại Sơn La và Điện Biên.",2,2,0
q_c71ec04bf492cc2e,"Tại một cơ sở y tế, bác sĩ đang trao đổi với TS. Hoàng Văn Cường, Giám đốc, trong khi bản tin phía dưới màn hình đề cập vụ đá lở vào nhà khiến hai cháu bé thương vong và thông tin đảm bảo giao thông tại Cao Bằng.",2,3,-1
q_43ed8e7ff4221291,"Khán giả mặc áo đỏ đứng cổ vũ bên đường, vẫy cờ Việt Nam khi các tay đua chạy ngang qua; phía sau có băng rôn “NON SÔNG LIỀN MỘT DẢI” và màn hình HTV Thể Thao hiển thị Chặng 5.",1,1,0
q_e66be07839a79cac,Một màn biểu diễn múa lân với đầu lân trắng xuất hiện trên sân khấu; trên màn hình HTV Thể Thao có dòng chữ “Cúp Chợ Lớn – HTV: Ấn tượng Lân lên Mai Hoa Thung” trong chương trình Thể Thao 365.,2,2,0
q_fb833c53c2d05554,"Trong phòng điều trị bệnh viện có bác sĩ, bệnh nhân nằm trên giường và các thiết bị theo dõi y tế; bản tin HTV9 đề cập mực nước đầu nguồn Đồng bằng sông Cửu Long tăng nhẹ, trong khi lời dẫn nói về các trường hợp sốt xuất huyết xuất hiện tại 15/15 huyện, thị xã, thành phố và tốc độ gia tăng nhanh vào mùa mưa.",1,1,0
q_3ab3face18e79179,"Phóng viên Diệu Bình mặc áo vàng đang dẫn hiện trường tại khu phố bán lồng đèn Trung thu nhiều màu sắc; bản tin phía dưới đề cập việc tập kết chất thải rắn sai quy định và thu giữ hơn 11 tấn mỡ bò không rõ nguồn gốc, trong khi lời dẫn nói về không khí Tết Trung thu và phố lồng đèn Lương Nhữ Học.",2,2,0
q_ef335f7c99e6dffc,"Tìm hình ảnh hai người đàn ông đứng cạnh nhau, người bên trái mặc vest tối màu, người bên phải cầm bó hoa; cả hai cùng cầm bằng khen/chứng nhận, phía sau có một chiếc TV và tường gạch.",1,1,0
q_8b4535090b17f6e2,"Tìm hình ảnh các thiết bị công nghệ/y tế màu trắng có nhiều màn hình cảm ứng được trưng bày tại triển lãm; trên thiết bị có chữ “POTENZA”, trong khi dòng tin phía dưới màn hình ghi “TP.HCM: Đồng bộ giải pháp quản lý thị trường vàng”.",1,1,0
q_76d63fde5a2ae819,"Tìm hình ảnh một quán ăn đông kín khách, nhiều người ngồi sát nhau tại các bàn inox, phía trước có một phụ nữ mặc áo vàng đội mũ rộng vành, không gian quán mở ra đường phố với nhiều xe máy bên ngoài.",4,10,-6
q_4c83d3381520523e,"Tìm hình ảnh cổng Trường Tiểu học Phú Thuận A1 (điểm đình số 12), phía trên có bảng tên trường và bên dưới treo băng rôn “Chào mừng năm học mới 2024–2025”; trên màn hình còn xuất hiện dòng “Cuộc thi Lan tỏa năng lượng tích cực 2024: Cùng nhau lan tỏa yêu thương”.",1,1,0
q_beab805a23f43834,"Tìm hình ảnh nhiều Phật tử đang quỳ/ngồi trên chiếu, chắp tay cầu nguyện bên trong một ngôi chùa; phía trước có nhiều người mặc áo trắng, phía sau là các nhà sư mặc áo cam và không gian có nhiều cột trang trí màu vàng.",1,1,0
q_bd5c55c036943129,"Tìm hình ảnh một con lân màu trắng đang biểu diễn trên các cột cao ngoài trời, phía dưới có nhiều người đứng xem và khu vực sân khấu được dựng bằng khung kim loại.",1,1,0
q_f63b2f6faccc2693,"Tìm hình ảnh nhiều học sinh và phụ huynh đang mua sách tại nhà sách, một nhân viên ngồi ở quầy thanh toán; bản tin hiển thị nội dung “Đảm bảo đủ sách giáo khoa phục vụ năm học mới”, trong khi lời dẫn đề cập việc giảm giá sách giáo khoa tái bản từ lớp 1 đến lớp 11 và tình trạng một số nhà sách đã hết sách.",3,3,0
